A,B,C,Result
0.9900000000,0.9900000000,0.9900000000,0.9702990000,
0.0100000000,0.9900000000,0.9900000000,0.0098010000,
0.9900000000,0.0100000000,0.9900000000,0.0098010000,
0.0100000000,0.0100000000,0.9900000000,0.0000990000,
0.9900000000,0.9900000000,0.0100000000,0.0098010000,
0.0100000000,0.9900000000,0.0100000000,0.0000990000,
0.9900000000,0.0100000000,0.0100000000,0.0000990000,
0.0100000000,0.0100000000,0.0100000000,0.0000010000,
Reliability,Safe Failure,Dangerous Failure
0.9997020000,0.0000000000,0.0002980000